# #で始まる行はスキップされます
# 年,月,節入日,節入時(0-24),節入分(0-59)

1873,2,4,2,9
1873,3,5,20,44
1873,4,5,2,23
1873,5,5,20,37
1873,6,6,1,33
1873,7,7,12,10
1873,8,7,21,47
1873,9,8,0,3
1873,10,8,14,46
1873,11,7,17,3
1873,12,7,9,14
1874,1,5,20,6
1874,2,4,8,0
1874,3,6,2,41
1874,4,5,8,25
1874,5,6,2,41
1874,6,6,7,34
1874,7,7,18,6
1874,8,8,3,38
1874,9,8,5,49
1874,10,8,20,30
1874,11,7,22,45
1874,12,7,14,56
1875,1,6,1,55
1875,2,4,13,47
1875,3,6,8,24
1875,4,5,14,4
1875,5,6,8,16
1875,6,6,13,5
1875,7,7,23,37
1875,8,8,9,7
1875,9,8,11,31
1875,10,9,2,16
1875,11,8,4,34
1875,12,7,20,45
1876,1,6,7,41
1876,2,4,19,31
1876,3,5,14,7
1876,4,4,19,47
1876,5,5,14,0
1876,6,5,18,52
1876,7,7,5,26
1876,8,7,15,5
1876,9,7,17,24
1876,10,8,8,9
1876,11,7,10,25
1876,12,7,2,34
1877,1,5,13,20
1877,2,4,1,8
1877,3,5,19,45
1877,4,5,1,28
1877,5,5,19,42
1877,6,6,0,35
1877,7,7,11,8
1877,8,7,20,44
1877,9,7,23,0
1877,10,8,13,47
1877,11,7,16,4
1877,12,7,8,15
1878,1,5,19,18
1878,2,4,7,7
1878,3,6,1,43
1878,4,5,7,22
1878,5,6,1,33
1878,6,6,6,21
1878,7,7,16,51
1878,8,8,2,25
1878,9,8,4,42
1878,10,8,19,32
1878,11,7,21,55
1878,12,7,14,10
1879,1,6,1,10
1879,2,4,12,59
1879,3,6,7,33
1879,4,5,13,10
1879,5,6,7,20
1879,6,6,12,09
1879,7,7,22,40
1879,8,8,8,16
1879,9,8,10,34
1879,10,9,1,32
1879,11,8,3,46
1879,12,7,20,1
1880,1,6,7,0
1880,2,4,18,49
1880,3,5,13,23
1880,4,4,18,58
1880,5,5,13,6
1880,6,5,17,55
1880,7,7,4,27
1880,8,7,14,4
1880,9,7,16,23
1880,10,8,7,11
1880,11,7,9,31
1880,12,7,1,45
1881,1,5,12,45
1881,2,4,0,36
1881,3,5,19,12
1881,4,5,0,50
1881,5,5,18,58
1881,6,5,23,46
1881,7,7,10,16
1881,8,7,19,51
1881,9,7,22,9
1881,10,8,12,58
1881,11,7,15,18
1881,12,7,7,32
1882,1,5,18,33
1882,2,4,6,27
1882,3,6,1,7
1882,4,5,6,48
1882,5,6,0,58
1882,6,6,5,45
1882,7,7,16,13
1882,8,8,1,46
1882,9,8,4,2
1882,10,8,18,50
1882,11,7,21,12
1882,12,7,13,28
1883,1,6,0,28
1883,2,4,12,20
1883,3,6,6,56
1883,4,5,12,33
1883,5,6,6,41
1883,6,6,11,26
